radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,214,0,764,39791165,0,1.304765,38.982559,1000,1,1,1505476929,1505476989,0
UMTS,214,0,764,39791314,0,1.304765,38.982559,1000,1,1,1505476930,1505476990,0
UMTS,214,0,764,39801165,0,1.304765,38.982559,1000,1,1,1505476929,1505476989,0
UMTS,214,0,764,39801314,0,1.304756,38.982567,1000,2,1,1505476928,1505476988,0
UMTS,214,0,2306,14654840,0,-2.935077,37.930897,1000,2,1,1505526954,1505527014,0
UMTS,214,0,2306,14654843,0,-2.92337,37.946079,1000,1,1,1505526416,1505526476,0
GSM,214,1,1,1010,0,1.4907073974609,42.461471557617,1000,1,1,1349890129,1349775757,0
GSM,214,1,1,1582,0,1.473265,42.438126,4161,10,1,1349890442,1349775902,0
GSM,214,1,1,1610,0,1.4934539794922,42.472457885742,1000,1,1,1349890134,1349775901,0
GSM,214,1,1,1611,0,1.4865875244141,42.45735168457,1000,1,1,1349890129,1349775695,0
GSM,214,1,1,1700,0,1.478895,42.444718,3308,5,1,1349890442,1349775902,0
LTE,214,1,1,74164995,0,-3.6550140380859,40.508651733398,1000,1,1,1458931131,1428625196,0
GSM,214,1,2,5,0,-5.321043,36.196918,32735,26,1,1408917619,1470700284,0
GSM,214,1,2,7,0,-5.383301,36.207504,1000,2,1,1402905070,1403998865,0
GSM,214,1,2,10,0,-5.380098,36.169417,43993,21,1,1423901544,1494284271,0
GSM,214,1,2,11,0,-5.3537750244141,36.144332885742,1000,1,1,1465642016,1465616496,0
GSM,214,1,2,17,0,-5.384403,36.194459,6710,20,1,1399978193,1457178837,0
GSM,214,1,2,19,0,-5.419913,36.17253,34414,261,1,1399719147,1498868648,0
GSM,214,1,2,20,0,-5.366244,36.225713,22390,148,1,1399709459,1498285400,0
GSM,214,1,2,26,0,-5.410906,36.157663,6096,10,1,1433478505,1491133741,0
